Species1,Species2,Species3,Time
847,461,452,825
843,437,468,826
864,429,426,827
840,459,474,828
868,480,456,829
824,512,471,830
873,456,454,831
862,448,435,832
859,466,467,833
857,485,446,834
867,484,448,835
846,480,452,836
878,503,405,837
863,487,432,838
827,509,448,839
874,469,417,840
864,527,420,841
862,503,396,842
856,516,409,843
863,510,398,844
846,549,379,845
863,532,403,846
882,528,379,847
817,559,381,848
823,505,420,849
824,563,382,850
827,569,389,851
886,559,374,852
843,556,363,853
845,545,374,854
846,581,355,855
841,593,338,856
848,578,358,857
831,613,347,858
834,585,375,859
755,634,401,860
826,577,365,861
799,613,376,862
831,588,379,863
773,624,358,864
839,621,357,865
815,624,349,866
835,636,338,867
773,702,336,868
806,659,333,869
777,626,331,870
807,682,335,871
775,674,346,872
743,653,362,873
797,668,334,874
802,662,309,875
819,648,327,876
823,619,320,877
828,696,335,878
782,698,350,879
770,707,336,880
787,722,306,881
757,772,313,882
778,719,298,883
786,747,288,884
778,697,285,885
794,716,280,886
770,721,297,887
787,741,266,888
804,712,282,889
771,733,300,890
735,795,315,891
750,765,282,892
774,743,295,893
746,759,290,894
735,783,297,895
802,792,256,896
774,736,272,897
762,785,253,898
729,804,276,899
766,844,230,900
794,769,269,901
723,766,275,902
685,837,249,903
788,765,275,904
770,777,251,905
731,802,248,906
715,836,256,907
765,838,243,908
763,800,228,909
769,801,226,910
768,818,259,911
750,853,241,912
740,839,235,913
721,846,237,914
694,888,241,915
742,833,224,916
741,851,227,917
733,861,222,918
755,854,232,919
757,873,209,920
759,848,240,921
732,831,218,922
699,904,220,923
725,890,227,924
706,897,212,925
726,906,209,926
666,933,205,927
685,949,213,928
675,940,191,929
687,966,177,930
699,947,177,931
674,974,200,932
653,1029,176,933
668,988,184,934
665,995,181,935
647,1001,175,936
652,1012,149,937
663,1034,161,938
651,1041,145,939
667,994,163,940
648,1067,155,941
667,979,158,942
668,1014,163,943
687,1046,143,944
647,1053,172,945
658,1016,147,946
665,1046,134,947
647,1035,137,948
641,1069,130,949
631,1063,139,950
633,1040,150,951
633,1099,134,952
681,1042,122,953
635,1041,138,954
671,1030,142,955
626,1092,122,956
605,1096,121,957
636,1100,141,958
603,1108,123,959
608,1110,117,960
595,1101,137,961
584,1120,134,962
578,1079,145,963
592,1114,136,964
636,1108,116,965
593,1126,121,966
545,1165,136,967
581,1163,126,968
541,1169,123,969
573,1156,99,970
561,1158,126,971
594,1131,108,972
585,1182,114,973
556,1177,113,974
