Species1,Species2,Species3,Time
118,1532,119,952
129,1519,104,953
119,1534,102,954
119,1571,105,955
108,1604,104,956
135,1538,114,957
110,1533,110,958
119,1524,99,959
106,1510,123,960
119,1559,110,961
103,1515,136,962
115,1511,139,963
134,1499,120,964
124,1501,119,965
124,1582,104,966
117,1591,122,967
128,1552,110,968
125,1516,109,969
125,1578,118,970
121,1520,108,971
110,1555,93,972
124,1552,96,973
122,1553,116,974
127,1532,102,975
117,1568,117,976
138,1501,107,977
97,1592,102,978
103,1515,117,979
124,1507,91,980
104,1571,122,981
120,1525,117,982
114,1575,105,983
109,1569,91,984
115,1533,115,985
114,1575,87,986
113,1576,94,987
117,1570,111,988
139,1558,99,989
134,1567,91,990
108,1570,86,991
118,1577,100,992
122,1586,79,993
105,1575,97,994
138,1569,90,995
115,1594,93,996
110,1570,103,997
121,1583,79,998
136,1561,103,999
114,1537,99,1000
106,1572,106,1001
104,1585,80,1002
110,1587,91,1003
107,1562,82,1004
131,1573,107,1005
96,1604,103,1006
98,1597,107,1007
116,1572,93,1008
93,1589,110,1009
98,1581,83,1010
124,1612,82,1011
126,1546,96,1012
94,1565,109,1013
126,1565,100,1014
97,1589,93,1015
105,1616,95,1016
113,1565,111,1017
107,1598,86,1018
106,1589,101,1019
114,1582,103,1020
97,1611,109,1021
95,1561,106,1022
111,1579,103,1023
99,1600,90,1024
97,1594,118,1025
90,1590,106,1026
91,1579,91,1027
95,1618,88,1028
82,1625,98,1029
90,1630,98,1030
88,1617,102,1031
96,1610,106,1032
83,1617,106,1033
102,1620,103,1034
90,1610,104,1035
123,1564,100,1036
107,1595,98,1037
99,1617,103,1038
107,1589,78,1039
120,1587,82,1040
108,1573,90,1041
112,1575,95,1042
107,1570,86,1043
96,1568,82,1044
110,1596,88,1045
95,1592,79,1046
81,1571,105,1047
100,1616,101,1048
99,1601,71,1049
129,1525,113,1050
107,1577,94,1051
94,1617,91,1052
91,1601,88,1053
114,1604,92,1054
85,1640,103,1055
86,1580,110,1056
89,1563,96,1057
101,1613,87,1058
101,1579,96,1059
113,1563,83,1060
106,1587,99,1061
89,1577,100,1062
86,1622,97,1063
99,1606,99,1064
97,1606,100,1065
77,1632,72,1066
