Species1,Species2,Species3,Species1_b,Species2_b,Species3_b,Species1_Density,Species2_Density,Species3_Density,Time
262,951,453,0,0,0,[],[],[],349
248,988,444,0,0,0,[],[],[],350
285,934,492,0,0,0,[],[],[],351
273,957,465,0,0,0,[],[],[],352
251,904,508,0,0,0,[],[],[],353
287,967,450,0,0,0,[],[],[],354
239,984,456,0,0,0,[],[],[],355
284,969,485,0,0,0,[],[],[],356
250,966,486,0,0,0,[],[],[],357
265,982,473,0,0,0,[],[],[],358
259,968,492,0,0,0,[],[],[],359
277,959,489,0,0,0,[],[],[],360
274,946,475,0,0,0,[],[],[],361
276,974,486,0,0,0,[],[],[],362
256,963,504,0,0,0,[],[],[],363
277,947,485,0,0,0,[],[],[],364
259,939,499,0,0,0,[],[],[],365
246,945,473,0,0,0,[],[],[],366
259,979,488,0,0,0,[],[],[],367
261,971,481,0,0,0,[],[],[],368
260,1009,474,0,0,0,[],[],[],369
261,990,451,0,0,0,[],[],[],370
247,962,497,0,0,0,[],[],[],371
273,978,479,0,0,0,[],[],[],372
263,976,452,0,0,0,[],[],[],373
249,940,484,0,0,0,[],[],[],374
250,975,482,0,0,0,[],[],[],375
242,1008,452,0,0,0,[],[],[],376
258,961,504,0,0,0,[],[],[],377
245,1019,494,0,0,0,[],[],[],378
235,1046,446,0,0,0,[],[],[],379
267,990,473,0,0,0,[],[],[],380
237,967,508,0,0,0,[],[],[],381
250,1035,475,0,0,0,[],[],[],382
245,989,484,0,0,0,[],[],[],383
276,1002,492,0,0,0,[],[],[],384
249,989,471,0,0,0,[],[],[],385
219,1026,467,0,0,0,[],[],[],386
253,1006,482,0,0,0,[],[],[],387
232,1023,461,0,0,0,[],[],[],388
240,1023,454,0,0,0,[],[],[],389
249,1004,484,0,0,0,[],[],[],390
226,968,479,0,0,0,[],[],[],391
240,1046,439,0,0,0,[],[],[],392
248,971,436,0,0,0,[],[],[],393
229,991,460,0,0,0,[],[],[],394
238,1040,425,0,0,0,[],[],[],395
266,1031,443,0,0,0,[],[],[],396
242,990,442,0,0,0,[],[],[],397
267,1005,427,0,0,0,[],[],[],398
264,977,479,0,0,0,[],[],[],399
256,1028,442,0,0,0,[],[],[],400
244,1013,443,0,0,0,[],[],[],401
251,1060,429,0,0,0,[],[],[],402
250,1012,476,0,0,0,[],[],[],403
246,1053,440,0,0,0,[],[],[],404
243,975,492,0,0,0,[],[],[],405
268,1050,428,0,0,0,[],[],[],406
270,1014,455,0,0,0,[],[],[],407
228,994,491,0,0,0,[],[],[],408
246,998,483,0,0,0,[],[],[],409
271,1044,408,0,0,0,[],[],[],410
243,1002,451,0,0,0,[],[],[],411
238,1056,425,0,0,0,[],[],[],412
238,1006,416,0,0,0,[],[],[],413
251,1035,427,0,0,0,[],[],[],414
229,1066,443,0,0,0,[],[],[],415
259,1047,437,0,0,0,[],[],[],416
246,1035,427,0,0,0,[],[],[],417
234,1032,463,0,0,0,[],[],[],418
274,1052,446,0,0,0,[],[],[],419
267,1048,428,0,0,0,[],[],[],420
263,1086,420,0,0,0,[],[],[],421
247,1051,423,0,0,0,[],[],[],422
263,1068,424,0,0,0,[],[],[],423
259,1036,452,0,0,0,[],[],[],424
239,1057,463,0,0,0,[],[],[],425
249,1015,415,0,0,0,[],[],[],426
240,1083,400,0,0,0,[],[],[],427
215,1081,428,0,0,0,[],[],[],428
240,1076,416,0,0,0,[],[],[],429
244,1056,396,0,0,0,[],[],[],430
